time,btc,eth,ltc
2017-05-27 22:53:02,13600.0,1148.0,148.0
2017-05-27 22:54:01,13540.0,1147.89,146.5
2017-05-27 22:55:02,13550.0,1139.0,145.58
2017-05-27 22:56:02,13600.0,1144.99,145.01
2017-05-27 22:57:02,13675.0,1141.09,146.0
2017-05-27 22:58:02,13540.0,1141.0,146.04
2017-05-27 22:59:02,13540.0,1141.01,147.0
2017-05-27 23:00:02,13550.0,1144.99,147.0
2017-05-27 23:01:02,13675.0,1141.0,147.0
2017-05-27 23:02:02,13675.0,1141.01,146.5
2017-05-27 23:03:01,13675.0,1140.0,147.0
2017-05-27 23:04:02,13555.0,1143.0,146.5
2017-05-27 23:05:01,13566.0,1143.2,147.3
2017-05-27 23:06:01,13668.0,1142.01,147.29
2017-05-27 23:07:01,13667.0,1142.01,147.0
2017-05-27 23:08:01,13667.0,1142.99,147.0
2017-05-27 23:09:01,13667.0,1143.0,147.0
2017-05-27 23:10:02,13667.0,1143.0,147.97
2017-05-27 23:11:01,13667.0,1141.49,147.01
2017-05-27 23:12:01,13667.0,1140.1,146.93
2017-05-27 23:13:02,13667.0,1142.5,146.93
2017-05-27 23:14:02,13560.0,1142.5,146.51
2017-05-27 23:15:02,13560.0,1146.9,146.0
2017-05-27 23:17:02,13540.0,1146.5,146.0
2017-05-27 23:18:01,13540.0,1146.0,146.97
2017-05-27 23:19:01,13560.0,1146.86,145.1
2017-05-27 23:20:02,13560.0,1154.99,145.5
2017-05-27 23:21:01,13560.0,1154.49,145.5
2017-05-27 23:22:02,13540.0,1153.0,146.1
2017-05-27 23:23:01,13560.0,1153.03,146.02
2017-05-27 23:24:01,13667.0,1154.56,146.01
2017-05-27 23:25:01,13500.0,1156.15,146.9
2017-05-27 23:26:02,13500.0,1160.5,146.6
2017-05-27 23:27:02,13500.0,1168.0,146.8
2017-05-27 23:28:01,13500.0,1167.99,146.9
2017-05-27 23:29:02,13500.0,1162.08,147.2
2017-05-27 23:30:02,13502.0,1162.02,146.5
2017-05-27 23:31:02,13650.0,1160.0,146.5
2017-05-27 23:32:01,13649.0,1162.0,146.7
2017-05-27 23:33:02,13649.0,1154.0,146.95
2017-05-27 23:34:01,13647.99,1153.4,146.0
2017-05-27 23:35:02,13647.99,1140.01,145.5
2017-05-27 23:36:02,13647.99,1140.04,143.5
